Date;T_nh;Number;bu_i
07/08/2021 ;Trà Vinh;2;Tr_a
07/08/2021 ;Ngh_ An;1;Tr_a
07/08/2021 ;Bình __nh;1;Tr_a
07/08/2021 ;Hà N_i;1;Tr_a
07/08/2021 ;Bình D__ng;80;Sáng
07/09/2021 ;Long An;40;T_i
07/09/2021 ;Ti_n Giang;34;T_i
07/09/2021 ;__ng Tháp;32;T_i
07/09/2021 ;Khánh Hòa;25;T_i
07/09/2021 ;Phú Yên;22;T_i
07/09/2021 ;H_ng Yên;8;T_i
07/09/2021 ;Bình D__ng;7;T_i
07/09/2021 ;C_n Th_;6;T_i
07/09/2021 ;B_c Ninh;5;T_i
07/09/2021 ;H_u Giang;4;T_i
07/09/2021 ;Sóc Tr_ng;2;T_i
07/09/2021 ;__k Nông;1;T_i
07/09/2021 ;Bình Ph__c;1;T_i
07/09/2021 ;_à N_ng;1;T_i
07/09/2021 ;Ngh_ An;1;T_i
07/09/2021 ;B_c Giang;1;T_i
07/09/2021 ;Qu_ng Nam;2;Tr_a
07/09/2021 ;Kiên Giang;1;Tr_a
07/09/2021 ;Bình D__ng;66;Tr_a
07/09/2021 ;__ng Nai;17;Tr_a
07/09/2021 ;B_c Giang;9;Tr_a
07/09/2021 ;Trà Vinh;8;Tr_a
07/09/2021 ;B_c Ninh;7;Tr_a
07/09/2021 ;Qu_ng Ngãi;7;Tr_a
07/09/2021 ;Bà R_a - V_ng Tàu;4;Tr_a
07/09/2021 ;Hà N_i;2;Tr_a
07/09/2021 ;V_nh Phúc;1;Tr_a
07/09/2021 ;B_c Liêu;1;Tr_a
07/09/2021 ;Lâm __ng;1;Tr_a
07/09/2021 ;Thanh Hóa;1;Tr_a
07/09/2021 ;An Giang;1;Sáng
07/09/2021 ;Long An;37;Sáng
07/09/2021 ;__ng Nai;15;Sáng
07/09/2021 ;Phú Yên;6;Sáng
07/09/2021 ;An Giang;5;Sáng
07/09/2021 ;Khánh Hòa;4;Sáng
07/09/2021 ;B_c Ninh;3;Sáng
07/09/2021 ;V_nh Phúc;1;Sáng
07/09/2021 ;Gia Lai;1;Sáng
07/09/2021 ;B_c Liêu;1;Sáng
07/09/2021 ;An Giang;1;Sáng
07/09/2021 ;Long An;37;Sáng
07/09/2021 ;__ng Nai;15;Sáng
07/09/2021 ;Phú Yên;6;Sáng
07/09/2021 ;An Giang;5;Sáng
07/09/2021 ;Khánh Hòa;4;Sáng
07/09/2021 ;B_c Ninh;3;Sáng
07/09/2021 ;V_nh Phúc;1;Sáng
07/09/2021 ;Gia Lai;1;Sáng
07/09/2021 ;B_c Liêu;1;Sáng
07/08/2021 ;Kiên Giang;2;T_i
07/08/2021 ;Tây Ninh;2;T_i
07/08/2021 ;Bình D__ng;55;T_i
07/08/2021 ;Khánh Hòa;25;T_i
07/08/2021 ;__ng Tháp;17;T_i
07/08/2021 ;V_nh Long;17;T_i
07/08/2021 ;Phú Yên;11;T_i
07/08/2021 ;B_c Giang;6;T_i
